Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\pylorak.Utilities.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\pylorak.Utilities.csproj,,,,,,,,Current target framework: net481 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\Pbkdf2.cs,17,12,T:System.Security.Cryptography.Rfc2898DeriveBytes,,,,,"using var hasher = new Rfc2898DeriveBytes(text, saltBytes, iterations);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\Pbkdf2.cs,17,12,"M:System.Security.Cryptography.Rfc2898DeriveBytes.#ctor(System.String,System.Byte[],System.Int32)",,,,,"using var hasher = new Rfc2898DeriveBytes(text, saltBytes, iterations);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\Pbkdf2.cs,11,12,T:System.Security.Cryptography.Rfc2898DeriveBytes,,,,,"using var hasher = new Rfc2898DeriveBytes(text, saltBytes, iterations);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Utilities\pylorak.Utilities.csproj,File,pylorak.Utilities\Pbkdf2.cs,11,12,"M:System.Security.Cryptography.Rfc2898DeriveBytes.#ctor(System.String,System.Byte[],System.Int32)",,,,,"using var hasher = new Rfc2898DeriveBytes(text, saltBytes, iterations);"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\pylorak.Windows.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\pylorak.Windows.csproj,,,,,,,,Current target framework: net481 Recommended target framework: net10.0-windows
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,1049,20,T:System.Drawing.Icon,,,,,config.FooterIcon = this.customFooterIcon.Handle;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,1049,20,P:System.Drawing.Icon.Handle,,,,,config.FooterIcon = this.customFooterIcon.Handle;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,1046,16,T:System.Drawing.Icon,,,,,if (this.customFooterIcon != null)                  {                      config.dwFlags |= UnsafeNativeMethods.TASKDIALOG_FLAGS.TDF_USE_HICON_FOOTER;                      config.FooterIcon = this.customFooterIcon.Handle;                  }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,973,20,T:System.Drawing.Icon,,,,,config.MainIcon = this.customMainIcon.Handle;
